"Dataset","Reg","FF","Scr","GSR","Parcellation","xfm","nsub","nses","nscans","nroi","discr"
"ANT","KKI2009","A","F","S","G","A","N",21,1,42,117,0.8625
"ANT1","KKI2009","A","F","S","G","A","P",21,1,42,117,0.85952380952381
"ANT2","KKI2009","A","F","S","G","A","L",21,1,42,117,0.824404761904762
"ANT3","KKI2009","A","F","S","G","C","N",21,1,42,201,0.914880952380952
"ANT11","KKI2009","A","F","S","G","C","P",21,1,42,201,0.898809523809524
"ANT21","KKI2009","A","F","S","G","C","L",21,1,42,201,0.871428571428571
"ANT4","KKI2009","A","F","S","G","D","N",21,1,42,71,0.835714285714286
"ANT12","KKI2009","A","F","S","G","D","P",21,1,42,71,0.832738095238095
"ANT22","KKI2009","A","F","S","G","D","L",21,1,42,71,0.777380952380952
"ANT5","KKI2009","A","F","S","G","H","N",21,1,42,112,0.861904761904762
"ANT13","KKI2009","A","F","S","G","H","P",21,1,42,112,0.880357142857143
"ANT23","KKI2009","A","F","S","G","H","L",21,1,42,112,0.835119047619048
"ANT6","KKI2009","A","F","S","N","A","N",21,1,42,117,0.755952380952381
"ANT14","KKI2009","A","F","S","N","A","P",21,1,42,117,0.821428571428571
"ANT24","KKI2009","A","F","S","N","A","L",21,1,42,117,0.75
"ANT7","KKI2009","A","F","S","N","C","N",21,1,42,201,0.811309523809524
"ANT15","KKI2009","A","F","S","N","C","P",21,1,42,201,0.860119047619048
"ANT25","KKI2009","A","F","S","N","C","L",21,1,42,201,0.8125
"ANT8","KKI2009","A","F","S","N","D","N",21,1,42,71,0.720833333333333
"ANT16","KKI2009","A","F","S","N","D","P",21,1,42,71,0.783333333333333
"ANT26","KKI2009","A","F","S","N","D","L",21,1,42,71,0.686309523809524
"ANT9","KKI2009","A","F","S","N","H","N",21,1,42,112,0.733928571428571
"ANT17","KKI2009","A","F","S","N","H","P",21,1,42,112,0.788690476190476
"ANT27","KKI2009","A","F","S","N","H","L",21,1,42,112,0.717857142857143
"ANT10","KKI2009","A","F","N","G","A","N",21,1,42,117,0.874404761904762
"ANT18","KKI2009","A","F","N","G","A","P",21,1,42,117,0.861309523809524
"ANT28","KKI2009","A","F","N","G","A","L",21,1,42,117,0.81547619047619
"ANT19","KKI2009","A","F","N","G","C","N",21,1,42,201,0.931547619047619
"ANT110","KKI2009","A","F","N","G","C","P",21,1,42,201,0.927380952380952
"ANT29","KKI2009","A","F","N","G","C","L",21,1,42,201,0.898214285714286
"ANT20","KKI2009","A","F","N","G","D","N",21,1,42,71,0.84047619047619
"ANT111","KKI2009","A","F","N","G","D","P",21,1,42,71,0.827380952380952
"ANT210","KKI2009","A","F","N","G","D","L",21,1,42,71,0.76547619047619
"ANT30","KKI2009","A","F","N","G","H","N",21,1,42,112,0.889880952380952
"ANT112","KKI2009","A","F","N","G","H","P",21,1,42,112,0.901785714285714
"ANT211","KKI2009","A","F","N","G","H","L",21,1,42,112,0.876190476190476
"ANT31","KKI2009","A","F","N","N","A","N",21,1,42,117,0.761904761904762
"ANT113","KKI2009","A","F","N","N","A","P",21,1,42,117,0.825595238095238
"ANT212","KKI2009","A","F","N","N","A","L",21,1,42,117,0.759523809523809
"ANT32","KKI2009","A","F","N","N","C","N",21,1,42,201,0.823214285714286
"ANT114","KKI2009","A","F","N","N","C","P",21,1,42,201,0.877380952380952
"ANT213","KKI2009","A","F","N","N","C","L",21,1,42,201,0.824404761904762
"ANT33","KKI2009","A","F","N","N","D","N",21,1,42,71,0.730952380952381
"ANT115","KKI2009","A","F","N","N","D","P",21,1,42,71,0.775
"ANT214","KKI2009","A","F","N","N","D","L",21,1,42,71,0.685714285714286
"ANT34","KKI2009","A","F","N","N","H","N",21,1,42,112,0.743452380952381
"ANT116","KKI2009","A","F","N","N","H","P",21,1,42,112,0.802380952380952
"ANT215","KKI2009","A","F","N","N","H","L",21,1,42,112,0.736309523809524
"ANT35","KKI2009","A","N","S","G","A","N",21,1,42,117,0.927380952380952
"ANT117","KKI2009","A","N","S","G","A","P",21,1,42,117,0.93452380952381
"ANT216","KKI2009","A","N","S","G","A","L",21,1,42,117,0.930357142857143
"ANT36","KKI2009","A","N","S","G","C","N",21,1,42,201,0.944642857142857
"ANT118","KKI2009","A","N","S","G","C","P",21,1,42,201,0.948214285714286
"ANT217","KKI2009","A","N","S","G","C","L",21,1,42,201,0.945833333333333
"ANT37","KKI2009","A","N","S","G","D","N",21,1,42,71,0.885714285714286
"ANT119","KKI2009","A","N","S","G","D","P",21,1,42,71,0.905357142857143
